cluster,Ground_Truth,n_top,non_identity_category,count,fraction
CD8.c06.Tem.GZMK,CD8_EffectorMemory,200,Housekeeping (Low Gini),3,0.015
CD8.c06.Tem.GZMK,CD8_EffectorMemory,200,Uninformative IDs / predicted loci,0,0
CD8.c06.Tem.GZMK,CD8_EffectorMemory,200,State Noise (Cell cycle / stress / IFN / MHC / sex),16,0.08
CD8.c06.Tem.GZMK,CD8_EffectorMemory,200,Ubiquitous Program (Translation / Histone),2,0.01
CD8.c06.Tem.GZMK,CD8_EffectorMemory,200,Hemo / contamination flag,0,0
CD8.c06.Tem.GZMK,CD8_EffectorMemory,200,Tech Noise (Mito/Ribo),2,0.01
CD8.c06.Tem.GZMK,CD8_EffectorMemory,200,Lineage Noise (TCR/Ig),9,0.045
CD8.c06.Tem.GZMK,CD8_EffectorMemory,200,Other / uncategorized noise,0,0
CD8.c07.Temra.CX3CR1,CD8_Effector,10,Housekeeping (Low Gini),1,0.1
CD8.c07.Temra.CX3CR1,CD8_Effector,10,Uninformative IDs / predicted loci,0,0
CD8.c07.Temra.CX3CR1,CD8_Effector,10,State Noise (Cell cycle / stress / IFN / MHC / sex),0,0
CD8.c07.Temra.CX3CR1,CD8_Effector,10,Ubiquitous Program (Translation / Histone),0,0
CD8.c07.Temra.CX3CR1,CD8_Effector,10,Hemo / contamination flag,0,0
CD8.c07.Temra.CX3CR1,CD8_Effector,10,Tech Noise (Mito/Ribo),0,0
CD8.c07.Temra.CX3CR1,CD8_Effector,10,Lineage Noise (TCR/Ig),0,0
CD8.c07.Temra.CX3CR1,CD8_Effector,10,Other / uncategorized noise,0,0
CD8.c07.Temra.CX3CR1,CD8_Effector,20,Housekeeping (Low Gini),1,0.05
CD8.c07.Temra.CX3CR1,CD8_Effector,20,Uninformative IDs / predicted loci,0,0
CD8.c07.Temra.CX3CR1,CD8_Effector,20,State Noise (Cell cycle / stress / IFN / MHC / sex),0,0
CD8.c07.Temra.CX3CR1,CD8_Effector,20,Ubiquitous Program (Translation / Histone),0,0
CD8.c07.Temra.CX3CR1,CD8_Effector,20,Hemo / contamination flag,0,0
CD8.c07.Temra.CX3CR1,CD8_Effector,20,Tech Noise (Mito/Ribo),0,0
CD8.c07.Temra.CX3CR1,CD8_Effector,20,Lineage Noise (TCR/Ig),0,0
CD8.c07.Temra.CX3CR1,CD8_Effector,20,Other / uncategorized noise,0,0
CD8.c07.Temra.CX3CR1,CD8_Effector,30,Housekeeping (Low Gini),2,0.066666667
CD8.c07.Temra.CX3CR1,CD8_Effector,30,Uninformative IDs / predicted loci,0,0
CD8.c07.Temra.CX3CR1,CD8_Effector,30,State Noise (Cell cycle / stress / IFN / MHC / sex),0,0
CD8.c07.Temra.CX3CR1,CD8_Effector,30,Ubiquitous Program (Translation / Histone),0,0
CD8.c07.Temra.CX3CR1,CD8_Effector,30,Hemo / contamination flag,0,0
CD8.c07.Temra.CX3CR1,CD8_Effector,30,Tech Noise (Mito/Ribo),0,0
CD8.c07.Temra.CX3CR1,CD8_Effector,30,Lineage Noise (TCR/Ig),0,0
CD8.c07.Temra.CX3CR1,CD8_Effector,30,Other / uncategorized noise,0,0
CD8.c07.Temra.CX3CR1,CD8_Effector,50,Housekeeping (Low Gini),3,0.06
CD8.c07.Temra.CX3CR1,CD8_Effector,50,Uninformative IDs / predicted loci,0,0
CD8.c07.Temra.CX3CR1,CD8_Effector,50,State Noise (Cell cycle / stress / IFN / MHC / sex),0,0
CD8.c07.Temra.CX3CR1,CD8_Effector,50,Ubiquitous Program (Translation / Histone),1,0.02
CD8.c07.Temra.CX3CR1,CD8_Effector,50,Hemo / contamination flag,0,0
CD8.c07.Temra.CX3CR1,CD8_Effector,50,Tech Noise (Mito/Ribo),4,0.08
CD8.c07.Temra.CX3CR1,CD8_Effector,50,Lineage Noise (TCR/Ig),0,0
CD8.c07.Temra.CX3CR1,CD8_Effector,50,Other / uncategorized noise,0,0
CD8.c07.Temra.CX3CR1,CD8_Effector,100,Housekeeping (Low Gini),5,0.05
CD8.c07.Temra.CX3CR1,CD8_Effector,100,Uninformative IDs / predicted loci,0,0
CD8.c07.Temra.CX3CR1,CD8_Effector,100,State Noise (Cell cycle / stress / IFN / MHC / sex),0,0
CD8.c07.Temra.CX3CR1,CD8_Effector,100,Ubiquitous Program (Translation / Histone),1,0.01
CD8.c07.Temra.CX3CR1,CD8_Effector,100,Hemo / contamination flag,0,0
CD8.c07.Temra.CX3CR1,CD8_Effector,100,Tech Noise (Mito/Ribo),8,0.08
CD8.c07.Temra.CX3CR1,CD8_Effector,100,Lineage Noise (TCR/Ig),5,0.05
CD8.c07.Temra.CX3CR1,CD8_Effector,100,Other / uncategorized noise,0,0
CD8.c07.Temra.CX3CR1,CD8_Effector,200,Housekeeping (Low Gini),5,0.025
CD8.c07.Temra.CX3CR1,CD8_Effector,200,Uninformative IDs / predicted loci,0,0
CD8.c07.Temra.CX3CR1,CD8_Effector,200,State Noise (Cell cycle / stress / IFN / MHC / sex),1,0.005
CD8.c07.Temra.CX3CR1,CD8_Effector,200,Ubiquitous Program (Translation / Histone),3,0.015
CD8.c07.Temra.CX3CR1,CD8_Effector,200,Hemo / contamination flag,0,0
CD8.c07.Temra.CX3CR1,CD8_Effector,200,Tech Noise (Mito/Ribo),8,0.04
CD8.c07.Temra.CX3CR1,CD8_Effector,200,Lineage Noise (TCR/Ig),17,0.085
CD8.c07.Temra.CX3CR1,CD8_Effector,200,Other / uncategorized noise,0,0
CD8.c08.Tk.TYROBP,CD8_Effector,10,Housekeeping (Low Gini),0,0
CD8.c08.Tk.TYROBP,CD8_Effector,10,Uninformative IDs / predicted loci,0,0
CD8.c08.Tk.TYROBP,CD8_Effector,10,State Noise (Cell cycle / stress / IFN / MHC / sex),0,0
CD8.c08.Tk.TYROBP,CD8_Effector,10,Ubiquitous Program (Translation / Histone),0,0
CD8.c08.Tk.TYROBP,CD8_Effector,10,Hemo / contamination flag,0,0
CD8.c08.Tk.TYROBP,CD8_Effector,10,Tech Noise (Mito/Ribo),0,0
CD8.c08.Tk.TYROBP,CD8_Effector,10,Lineage Noise (TCR/Ig),0,0
CD8.c08.Tk.TYROBP,CD8_Effector,10,Other / uncategorized noise,0,0
CD8.c08.Tk.TYROBP,CD8_Effector,20,Housekeeping (Low Gini),0,0
CD8.c08.Tk.TYROBP,CD8_Effector,20,Uninformative IDs / predicted loci,0,0
CD8.c08.Tk.TYROBP,CD8_Effector,20,State Noise (Cell cycle / stress / IFN / MHC / sex),0,0
CD8.c08.Tk.TYROBP,CD8_Effector,20,Ubiquitous Program (Translation / Histone),0,0
CD8.c08.Tk.TYROBP,CD8_Effector,20,Hemo / contamination flag,0,0
CD8.c08.Tk.TYROBP,CD8_Effector,20,Tech Noise (Mito/Ribo),3,0.15
CD8.c08.Tk.TYROBP,CD8_Effector,20,Lineage Noise (TCR/Ig),1,0.05
CD8.c08.Tk.TYROBP,CD8_Effector,20,Other / uncategorized noise,0,0
CD8.c08.Tk.TYROBP,CD8_Effector,30,Housekeeping (Low Gini),0,0
CD8.c08.Tk.TYROBP,CD8_Effector,30,Uninformative IDs / predicted loci,0,0
CD8.c08.Tk.TYROBP,CD8_Effector,30,State Noise (Cell cycle / stress / IFN / MHC / sex),0,0
CD8.c08.Tk.TYROBP,CD8_Effector,30,Ubiquitous Program (Translation / Histone),1,0.033333333
CD8.c08.Tk.TYROBP,CD8_Effector,30,Hemo / contamination flag,0,0
CD8.c08.Tk.TYROBP,CD8_Effector,30,Tech Noise (Mito/Ribo),3,0.1
CD8.c08.Tk.TYROBP,CD8_Effector,30,Lineage Noise (TCR/Ig),1,0.033333333
CD8.c08.Tk.TYROBP,CD8_Effector,30,Other / uncategorized noise,0,0
CD8.c08.Tk.TYROBP,CD8_Effector,50,Housekeeping (Low Gini),0,0
CD8.c08.Tk.TYROBP,CD8_Effector,50,Uninformative IDs / predicted loci,0,0
CD8.c08.Tk.TYROBP,CD8_Effector,50,State Noise (Cell cycle / stress / IFN / MHC / sex),1,0.02
CD8.c08.Tk.TYROBP,CD8_Effector,50,Ubiquitous Program (Translation / Histone),1,0.02
CD8.c08.Tk.TYROBP,CD8_Effector,50,Hemo / contamination flag,0,0
CD8.c08.Tk.TYROBP,CD8_Effector,50,Tech Noise (Mito/Ribo),5,0.1
CD8.c08.Tk.TYROBP,CD8_Effector,50,Lineage Noise (TCR/Ig),2,0.04
CD8.c08.Tk.TYROBP,CD8_Effector,50,Other / uncategorized noise,0,0
CD8.c08.Tk.TYROBP,CD8_Effector,100,Housekeeping (Low Gini),1,0.01
CD8.c08.Tk.TYROBP,CD8_Effector,100,Uninformative IDs / predicted loci,0,0
CD8.c08.Tk.TYROBP,CD8_Effector,100,State Noise (Cell cycle / stress / IFN / MHC / sex),2,0.02
CD8.c08.Tk.TYROBP,CD8_Effector,100,Ubiquitous Program (Translation / Histone),1,0.01
CD8.c08.Tk.TYROBP,CD8_Effector,100,Hemo / contamination flag,0,0
CD8.c08.Tk.TYROBP,CD8_Effector,100,Tech Noise (Mito/Ribo),7,0.07
CD8.c08.Tk.TYROBP,CD8_Effector,100,Lineage Noise (TCR/Ig),6,0.06
CD8.c08.Tk.TYROBP,CD8_Effector,100,Other / uncategorized noise,0,0
CD8.c08.Tk.TYROBP,CD8_Effector,200,Housekeeping (Low Gini),3,0.015
CD8.c08.Tk.TYROBP,CD8_Effector,200,Uninformative IDs / predicted loci,0,0
CD8.c08.Tk.TYROBP,CD8_Effector,200,State Noise (Cell cycle / stress / IFN / MHC / sex),5,0.025
CD8.c08.Tk.TYROBP,CD8_Effector,200,Ubiquitous Program (Translation / Histone),4,0.02
CD8.c08.Tk.TYROBP,CD8_Effector,200,Hemo / contamination flag,0,0
CD8.c08.Tk.TYROBP,CD8_Effector,200,Tech Noise (Mito/Ribo),8,0.04
CD8.c08.Tk.TYROBP,CD8_Effector,200,Lineage Noise (TCR/Ig),15,0.075
CD8.c08.Tk.TYROBP,CD8_Effector,200,Other / uncategorized noise,0,0
CD8.c09.Tk.KIR2DL4,CD8_Effector,10,Housekeeping (Low Gini),0,0
CD8.c09.Tk.KIR2DL4,CD8_Effector,10,Uninformative IDs / predicted loci,0,0
CD8.c09.Tk.KIR2DL4,CD8_Effector,10,State Noise (Cell cycle / stress / IFN / MHC / sex),0,0
CD8.c09.Tk.KIR2DL4,CD8_Effector,10,Ubiquitous Program (Translation / Histone),0,0
CD8.c09.Tk.KIR2DL4,CD8_Effector,10,Hemo / contamination flag,0,0
CD8.c09.Tk.KIR2DL4,CD8_Effector,10,Tech Noise (Mito/Ribo),0,0
CD8.c09.Tk.KIR2DL4,CD8_Effector,10,Lineage Noise (TCR/Ig),0,0
CD8.c09.Tk.KIR2DL4,CD8_Effector,10,Other / uncategorized noise,0,0
CD8.c09.Tk.KIR2DL4,CD8_Effector,20,Housekeeping (Low Gini),0,0
CD8.c09.Tk.KIR2DL4,CD8_Effector,20,Uninformative IDs / predicted loci,0,0
CD8.c09.Tk.KIR2DL4,CD8_Effector,20,State Noise (Cell cycle / stress / IFN / MHC / sex),1,0.05
CD8.c09.Tk.KIR2DL4,CD8_Effector,20,Ubiquitous Program (Translation / Histone),0,0
CD8.c09.Tk.KIR2DL4,CD8_Effector,20,Hemo / contamination flag,0,0
CD8.c09.Tk.KIR2DL4,CD8_Effector,20,Tech Noise (Mito/Ribo),0,0
CD8.c09.Tk.KIR2DL4,CD8_Effector,20,Lineage Noise (TCR/Ig),0,0
CD8.c09.Tk.KIR2DL4,CD8_Effector,20,Other / uncategorized noise,0,0
CD8.c09.Tk.KIR2DL4,CD8_Effector,30,Housekeeping (Low Gini),0,0
CD8.c09.Tk.KIR2DL4,CD8_Effector,30,Uninformative IDs / predicted loci,0,0
CD8.c09.Tk.KIR2DL4,CD8_Effector,30,State Noise (Cell cycle / stress / IFN / MHC / sex),1,0.033333333
CD8.c09.Tk.KIR2DL4,CD8_Effector,30,Ubiquitous Program (Translation / Histone),0,0
CD8.c09.Tk.KIR2DL4,CD8_Effector,30,Hemo / contamination flag,0,0
CD8.c09.Tk.KIR2DL4,CD8_Effector,30,Tech Noise (Mito/Ribo),0,0
CD8.c09.Tk.KIR2DL4,CD8_Effector,30,Lineage Noise (TCR/Ig),0,0
CD8.c09.Tk.KIR2DL4,CD8_Effector,30,Other / uncategorized noise,0,0
CD8.c09.Tk.KIR2DL4,CD8_Effector,50,Housekeeping (Low Gini),0,0
CD8.c09.Tk.KIR2DL4,CD8_Effector,50,Uninformative IDs / predicted loci,0,0
CD8.c09.Tk.KIR2DL4,CD8_Effector,50,State Noise (Cell cycle / stress / IFN / MHC / sex),1,0.02
CD8.c09.Tk.KIR2DL4,CD8_Effector,50,Ubiquitous Program (Translation / Histone),0,0
CD8.c09.Tk.KIR2DL4,CD8_Effector,50,Hemo / contamination flag,0,0
CD8.c09.Tk.KIR2DL4,CD8_Effector,50,Tech Noise (Mito/Ribo),2,0.04
CD8.c09.Tk.KIR2DL4,CD8_Effector,50,Lineage Noise (TCR/Ig),2,0.04
CD8.c09.Tk.KIR2DL4,CD8_Effector,50,Other / uncategorized noise,0,0
CD8.c09.Tk.KIR2DL4,CD8_Effector,100,Housekeeping (Low Gini),0,0
CD8.c09.Tk.KIR2DL4,CD8_Effector,100,Uninformative IDs / predicted loci,0,0
CD8.c09.Tk.KIR2DL4,CD8_Effector,100,State Noise (Cell cycle / stress / IFN / MHC / sex),3,0.03
CD8.c09.Tk.KIR2DL4,CD8_Effector,100,Ubiquitous Program (Translation / Histone),0,0
CD8.c09.Tk.KIR2DL4,CD8_Effector,100,Hemo / contamination flag,0,0
CD8.c09.Tk.KIR2DL4,CD8_Effector,100,Tech Noise (Mito/Ribo),3,0.03
CD8.c09.Tk.KIR2DL4,CD8_Effector,100,Lineage Noise (TCR/Ig),8,0.08
CD8.c09.Tk.KIR2DL4,CD8_Effector,100,Other / uncategorized noise,0,0
CD8.c09.Tk.KIR2DL4,CD8_Effector,200,Housekeeping (Low Gini),2,0.01
CD8.c09.Tk.KIR2DL4,CD8_Effector,200,Uninformative IDs / predicted loci,0,0
CD8.c09.Tk.KIR2DL4,CD8_Effector,200,State Noise (Cell cycle / stress / IFN / MHC / sex),8,0.04
CD8.c09.Tk.KIR2DL4,CD8_Effector,200,Ubiquitous Program (Translation / Histone),0,0
CD8.c09.Tk.KIR2DL4,CD8_Effector,200,Hemo / contamination flag,0,0
CD8.c09.Tk.KIR2DL4,CD8_Effector,200,Tech Noise (Mito/Ribo),3,0.015
CD8.c09.Tk.KIR2DL4,CD8_Effector,200,Lineage Noise (TCR/Ig),13,0.065
CD8.c09.Tk.KIR2DL4,CD8_Effector,200,Other / uncategorized noise,0,0
CD8.c10.Trm.ZNF683,CD8_EffectorMemory,10,Housekeeping (Low Gini),2,0.2
CD8.c10.Trm.ZNF683,CD8_EffectorMemory,10,Uninformative IDs / predicted loci,0,0
CD8.c10.Trm.ZNF683,CD8_EffectorMemory,10,State Noise (Cell cycle / stress / IFN / MHC / sex),0,0
CD8.c10.Trm.ZNF683,CD8_EffectorMemory,10,Ubiquitous Program (Translation / Histone),0,0
CD8.c10.Trm.ZNF683,CD8_EffectorMemory,10,Hemo / contamination flag,0,0
CD8.c10.Trm.ZNF683,CD8_EffectorMemory,10,Tech Noise (Mito/Ribo),0,0
CD8.c10.Trm.ZNF683,CD8_EffectorMemory,10,Lineage Noise (TCR/Ig),0,0
CD8.c10.Trm.ZNF683,CD8_EffectorMemory,10,Other / uncategorized noise,0,0
CD8.c10.Trm.ZNF683,CD8_EffectorMemory,20,Housekeeping (Low Gini),2,0.1
CD8.c10.Trm.ZNF683,CD8_EffectorMemory,20,Uninformative IDs / predicted loci,0,0
CD8.c10.Trm.ZNF683,CD8_EffectorMemory,20,State Noise (Cell cycle / stress / IFN / MHC / sex),0,0
CD8.c10.Trm.ZNF683,CD8_EffectorMemory,20,Ubiquitous Program (Translation / Histone),0,0
CD8.c10.Trm.ZNF683,CD8_EffectorMemory,20,Hemo / contamination flag,0,0
CD8.c10.Trm.ZNF683,CD8_EffectorMemory,20,Tech Noise (Mito/Ribo),0,0
CD8.c10.Trm.ZNF683,CD8_EffectorMemory,20,Lineage Noise (TCR/Ig),0,0
CD8.c10.Trm.ZNF683,CD8_EffectorMemory,20,Other / uncategorized noise,0,0
CD8.c10.Trm.ZNF683,CD8_EffectorMemory,30,Housekeeping (Low Gini),4,0.133333333
CD8.c10.Trm.ZNF683,CD8_EffectorMemory,30,Uninformative IDs / predicted loci,0,0
CD8.c10.Trm.ZNF683,CD8_EffectorMemory,30,State Noise (Cell cycle / stress / IFN / MHC / sex),0,0
CD8.c10.Trm.ZNF683,CD8_EffectorMemory,30,Ubiquitous Program (Translation / Histone),0,0
CD8.c10.Trm.ZNF683,CD8_EffectorMemory,30,Hemo / contamination flag,0,0
CD8.c10.Trm.ZNF683,CD8_EffectorMemory,30,Tech Noise (Mito/Ribo),0,0
CD8.c10.Trm.ZNF683,CD8_EffectorMemory,30,Lineage Noise (TCR/Ig),0,0
CD8.c10.Trm.ZNF683,CD8_EffectorMemory,30,Other / uncategorized noise,0,0
CD8.c10.Trm.ZNF683,CD8_EffectorMemory,50,Housekeeping (Low Gini),4,0.08
CD8.c10.Trm.ZNF683,CD8_EffectorMemory,50,Uninformative IDs / predicted loci,0,0
CD8.c10.Trm.ZNF683,CD8_EffectorMemory,50,State Noise (Cell cycle / stress / IFN / MHC / sex),0,0
CD8.c10.Trm.ZNF683,CD8_EffectorMemory,50,Ubiquitous Program (Translation / Histone),0,0
CD8.c10.Trm.ZNF683,CD8_EffectorMemory,50,Hemo / contamination flag,0,0
CD8.c10.Trm.ZNF683,CD8_EffectorMemory,50,Tech Noise (Mito/Ribo),1,0.02
CD8.c10.Trm.ZNF683,CD8_EffectorMemory,50,Lineage Noise (TCR/Ig),0,0
CD8.c10.Trm.ZNF683,CD8_EffectorMemory,50,Other / uncategorized noise,0,0
CD8.c10.Trm.ZNF683,CD8_EffectorMemory,100,Housekeeping (Low Gini),5,0.05
CD8.c10.Trm.ZNF683,CD8_EffectorMemory,100,Uninformative IDs / predicted loci,0,0
CD8.c10.Trm.ZNF683,CD8_EffectorMemory,100,State Noise (Cell cycle / stress / IFN / MHC / sex),2,0.02
CD8.c10.Trm.ZNF683,CD8_EffectorMemory,100,Ubiquitous Program (Translation / Histone),2,0.02
CD8.c10.Trm.ZNF683,CD8_EffectorMemory,100,Hemo / contamination flag,0,0
CD8.c10.Trm.ZNF683,CD8_EffectorMemory,100,Tech Noise (Mito/Ribo),2,0.02
CD8.c10.Trm.ZNF683,CD8_EffectorMemory,100,Lineage Noise (TCR/Ig),0,0
CD8.c10.Trm.ZNF683,CD8_EffectorMemory,100,Other / uncategorized noise,0,0
CD8.c10.Trm.ZNF683,CD8_EffectorMemory,200,Housekeeping (Low Gini),6,0.03
CD8.c10.Trm.ZNF683,CD8_EffectorMemory,200,Uninformative IDs / predicted loci,0,0
CD8.c10.Trm.ZNF683,CD8_EffectorMemory,200,State Noise (Cell cycle / stress / IFN / MHC / sex),8,0.04
CD8.c10.Trm.ZNF683,CD8_EffectorMemory,200,Ubiquitous Program (Translation / Histone),3,0.015
CD8.c10.Trm.ZNF683,CD8_EffectorMemory,200,Hemo / contamination flag,0,0
CD8.c10.Trm.ZNF683,CD8_EffectorMemory,200,Tech Noise (Mito/Ribo),5,0.025
CD8.c10.Trm.ZNF683,CD8_EffectorMemory,200,Lineage Noise (TCR/Ig),5,0.025
CD8.c10.Trm.ZNF683,CD8_EffectorMemory,200,Other / uncategorized noise,0,0
CD8.c11.Tex.PDCD1,CD8_Exhausted,10,Housekeeping (Low Gini),0,0
CD8.c11.Tex.PDCD1,CD8_Exhausted,10,Uninformative IDs / predicted loci,0,0
CD8.c11.Tex.PDCD1,CD8_Exhausted,10,State Noise (Cell cycle / stress / IFN / MHC / sex),0,0
CD8.c11.Tex.PDCD1,CD8_Exhausted,10,Ubiquitous Program (Translation / Histone),0,0
CD8.c11.Tex.PDCD1,CD8_Exhausted,10,Hemo / contamination flag,0,0
CD8.c11.Tex.PDCD1,CD8_Exhausted,10,Tech Noise (Mito/Ribo),0,0
CD8.c11.Tex.PDCD1,CD8_Exhausted,10,Lineage Noise (TCR/Ig),0,0
CD8.c11.Tex.PDCD1,CD8_Exhausted,10,Other / uncategorized noise,0,0
CD8.c11.Tex.PDCD1,CD8_Exhausted,20,Housekeeping (Low Gini),0,0
CD8.c11.Tex.PDCD1,CD8_Exhausted,20,Uninformative IDs / predicted loci,0,0
CD8.c11.Tex.PDCD1,CD8_Exhausted,20,State Noise (Cell cycle / stress / IFN / MHC / sex),1,0.05
CD8.c11.Tex.PDCD1,CD8_Exhausted,20,Ubiquitous Program (Translation / Histone),0,0
CD8.c11.Tex.PDCD1,CD8_Exhausted,20,Hemo / contamination flag,0,0
CD8.c11.Tex.PDCD1,CD8_Exhausted,20,Tech Noise (Mito/Ribo),0,0
CD8.c11.Tex.PDCD1,CD8_Exhausted,20,Lineage Noise (TCR/Ig),0,0
CD8.c11.Tex.PDCD1,CD8_Exhausted,20,Other / uncategorized noise,0,0
CD8.c11.Tex.PDCD1,CD8_Exhausted,30,Housekeeping (Low Gini),0,0
CD8.c11.Tex.PDCD1,CD8_Exhausted,30,Uninformative IDs / predicted loci,0,0
CD8.c11.Tex.PDCD1,CD8_Exhausted,30,State Noise (Cell cycle / stress / IFN / MHC / sex),1,0.033333333
CD8.c11.Tex.PDCD1,CD8_Exhausted,30,Ubiquitous Program (Translation / Histone),0,0
CD8.c11.Tex.PDCD1,CD8_Exhausted,30,Hemo / contamination flag,0,0
CD8.c11.Tex.PDCD1,CD8_Exhausted,30,Tech Noise (Mito/Ribo),0,0
CD8.c11.Tex.PDCD1,CD8_Exhausted,30,Lineage Noise (TCR/Ig),0,0
CD8.c11.Tex.PDCD1,CD8_Exhausted,30,Other / uncategorized noise,0,0
CD8.c11.Tex.PDCD1,CD8_Exhausted,50,Housekeeping (Low Gini),0,0
CD8.c11.Tex.PDCD1,CD8_Exhausted,50,Uninformative IDs / predicted loci,0,0
CD8.c11.Tex.PDCD1,CD8_Exhausted,50,State Noise (Cell cycle / stress / IFN / MHC / sex),5,0.1
CD8.c11.Tex.PDCD1,CD8_Exhausted,50,Ubiquitous Program (Translation / Histone),0,0
CD8.c11.Tex.PDCD1,CD8_Exhausted,50,Hemo / contamination flag,0,0
CD8.c11.Tex.PDCD1,CD8_Exhausted,50,Tech Noise (Mito/Ribo),0,0
CD8.c11.Tex.PDCD1,CD8_Exhausted,50,Lineage Noise (TCR/Ig),0,0
CD8.c11.Tex.PDCD1,CD8_Exhausted,50,Other / uncategorized noise,0,0
CD8.c11.Tex.PDCD1,CD8_Exhausted,100,Housekeeping (Low Gini),0,0
CD8.c11.Tex.PDCD1,CD8_Exhausted,100,Uninformative IDs / predicted loci,0,0
CD8.c11.Tex.PDCD1,CD8_Exhausted,100,State Noise (Cell cycle / stress / IFN / MHC / sex),12,0.12
CD8.c11.Tex.PDCD1,CD8_Exhausted,100,Ubiquitous Program (Translation / Histone),0,0
CD8.c11.Tex.PDCD1,CD8_Exhausted,100,Hemo / contamination flag,0,0
CD8.c11.Tex.PDCD1,CD8_Exhausted,100,Tech Noise (Mito/Ribo),0,0
CD8.c11.Tex.PDCD1,CD8_Exhausted,100,Lineage Noise (TCR/Ig),0,0
CD8.c11.Tex.PDCD1,CD8_Exhausted,100,Other / uncategorized noise,0,0
CD8.c11.Tex.PDCD1,CD8_Exhausted,200,Housekeeping (Low Gini),1,0.005
CD8.c11.Tex.PDCD1,CD8_Exhausted,200,Uninformative IDs / predicted loci,0,0
CD8.c11.Tex.PDCD1,CD8_Exhausted,200,State Noise (Cell cycle / stress / IFN / MHC / sex),18,0.09
CD8.c11.Tex.PDCD1,CD8_Exhausted,200,Ubiquitous Program (Translation / Histone),0,0
CD8.c11.Tex.PDCD1,CD8_Exhausted,200,Hemo / contamination flag,0,0
CD8.c11.Tex.PDCD1,CD8_Exhausted,200,Tech Noise (Mito/Ribo),1,0.005
CD8.c11.Tex.PDCD1,CD8_Exhausted,200,Lineage Noise (TCR/Ig),1,0.005
CD8.c11.Tex.PDCD1,CD8_Exhausted,200,Other / uncategorized noise,0,0
CD8.c12.Tex.CXCL13,CD8_Exhausted,10,Housekeeping (Low Gini),0,0
CD8.c12.Tex.CXCL13,CD8_Exhausted,10,Uninformative IDs / predicted loci,0,0
CD8.c12.Tex.CXCL13,CD8_Exhausted,10,State Noise (Cell cycle / stress / IFN / MHC / sex),0,0
CD8.c12.Tex.CXCL13,CD8_Exhausted,10,Ubiquitous Program (Translation / Histone),0,0
CD8.c12.Tex.CXCL13,CD8_Exhausted,10,Hemo / contamination flag,0,0
CD8.c12.Tex.CXCL13,CD8_Exhausted,10,Tech Noise (Mito/Ribo),0,0
CD8.c12.Tex.CXCL13,CD8_Exhausted,10,Lineage Noise (TCR/Ig),0,0
CD8.c12.Tex.CXCL13,CD8_Exhausted,10,Other / uncategorized noise,0,0
CD8.c12.Tex.CXCL13,CD8_Exhausted,20,Housekeeping (Low Gini),0,0
CD8.c12.Tex.CXCL13,CD8_Exhausted,20,Uninformative IDs / predicted loci,0,0
CD8.c12.Tex.CXCL13,CD8_Exhausted,20,State Noise (Cell cycle / stress / IFN / MHC / sex),0,0
CD8.c12.Tex.CXCL13,CD8_Exhausted,20,Ubiquitous Program (Translation / Histone),0,0
CD8.c12.Tex.CXCL13,CD8_Exhausted,20,Hemo / contamination flag,0,0
CD8.c12.Tex.CXCL13,CD8_Exhausted,20,Tech Noise (Mito/Ribo),0,0
CD8.c12.Tex.CXCL13,CD8_Exhausted,20,Lineage Noise (TCR/Ig),0,0
CD8.c12.Tex.CXCL13,CD8_Exhausted,20,Other / uncategorized noise,0,0
CD8.c12.Tex.CXCL13,CD8_Exhausted,30,Housekeeping (Low Gini),0,0
CD8.c12.Tex.CXCL13,CD8_Exhausted,30,Uninformative IDs / predicted loci,0,0
CD8.c12.Tex.CXCL13,CD8_Exhausted,30,State Noise (Cell cycle / stress / IFN / MHC / sex),0,0
CD8.c12.Tex.CXCL13,CD8_Exhausted,30,Ubiquitous Program (Translation / Histone),0,0
CD8.c12.Tex.CXCL13,CD8_Exhausted,30,Hemo / contamination flag,0,0
CD8.c12.Tex.CXCL13,CD8_Exhausted,30,Tech Noise (Mito/Ribo),0,0
CD8.c12.Tex.CXCL13,CD8_Exhausted,30,Lineage Noise (TCR/Ig),0,0
CD8.c12.Tex.CXCL13,CD8_Exhausted,30,Other / uncategorized noise,0,0
CD8.c12.Tex.CXCL13,CD8_Exhausted,50,Housekeeping (Low Gini),0,0
CD8.c12.Tex.CXCL13,CD8_Exhausted,50,Uninformative IDs / predicted loci,0,0
CD8.c12.Tex.CXCL13,CD8_Exhausted,50,State Noise (Cell cycle / stress / IFN / MHC / sex),1,0.02
CD8.c12.Tex.CXCL13,CD8_Exhausted,50,Ubiquitous Program (Translation / Histone),0,0
CD8.c12.Tex.CXCL13,CD8_Exhausted,50,Hemo / contamination flag,0,0
CD8.c12.Tex.CXCL13,CD8_Exhausted,50,Tech Noise (Mito/Ribo),0,0
CD8.c12.Tex.CXCL13,CD8_Exhausted,50,Lineage Noise (TCR/Ig),0,0
CD8.c12.Tex.CXCL13,CD8_Exhausted,50,Other / uncategorized noise,0,0
CD8.c12.Tex.CXCL13,CD8_Exhausted,100,Housekeeping (Low Gini),1,0.01
CD8.c12.Tex.CXCL13,CD8_Exhausted,100,Uninformative IDs / predicted loci,1,0.01
CD8.c12.Tex.CXCL13,CD8_Exhausted,100,State Noise (Cell cycle / stress / IFN / MHC / sex),4,0.04
