dataset,cluster,Ground_Truth,variant,n_top_eval,marker_recall_at_n,noise_fraction_at_n,low_gini_fraction_at_n
CD4,CD4.c01.Tn.TCF7,CD4_Tn.Naive,full_core,10,0.75,0.0,0.0
CD4,CD4.c01.Tn.TCF7,CD4_Tn.Naive,standard,20,0.0,1.0,0.0
CD4,CD4.c01.Tn.TCF7,CD4_Tn.Naive,filter_only,20,1.0,0.05,0.0
CD4,CD4.c01.Tn.TCF7,CD4_Tn.Naive,regex_mask,20,1.0,0.0,0.0
CD4,CD4.c01.Tn.TCF7,CD4_Tn.Naive,full_core,20,0.75,0.0,0.0
CD4,CD4.c01.Tn.TCF7,CD4_Tn.Naive,standard,30,0.0,1.0,0.0
CD4,CD4.c01.Tn.TCF7,CD4_Tn.Naive,filter_only,30,1.0,0.03333333333333333,0.0
CD4,CD4.c01.Tn.TCF7,CD4_Tn.Naive,regex_mask,30,1.0,0.0,0.0
CD4,CD4.c01.Tn.TCF7,CD4_Tn.Naive,full_core,30,0.75,0.0,0.0
CD4,CD4.c01.Tn.TCF7,CD4_Tn.Naive,standard,50,0.0,1.0,0.04
CD4,CD4.c01.Tn.TCF7,CD4_Tn.Naive,filter_only,50,1.0,0.02,0.0
CD4,CD4.c01.Tn.TCF7,CD4_Tn.Naive,regex_mask,50,1.0,0.0,0.0
CD4,CD4.c01.Tn.TCF7,CD4_Tn.Naive,full_core,50,0.75,0.0,0.0
CD4,CD4.c02.Tn.PASK,CD4_Tn.Naive,standard,10,0.125,0.2,0.0
CD4,CD4.c02.Tn.PASK,CD4_Tn.Naive,filter_only,10,0.125,0.1,0.0
CD4,CD4.c02.Tn.PASK,CD4_Tn.Naive,regex_mask,10,0.125,0.0,0.0
CD4,CD4.c02.Tn.PASK,CD4_Tn.Naive,full_core,10,0.375,0.0,0.0
CD4,CD4.c02.Tn.PASK,CD4_Tn.Naive,standard,20,0.125,0.3,0.0
CD4,CD4.c02.Tn.PASK,CD4_Tn.Naive,filter_only,20,0.125,0.15,0.0
CD4,CD4.c02.Tn.PASK,CD4_Tn.Naive,regex_mask,20,0.125,0.0,0.0
CD4,CD4.c02.Tn.PASK,CD4_Tn.Naive,full_core,20,0.375,0.0,0.0
CD4,CD4.c02.Tn.PASK,CD4_Tn.Naive,standard,30,0.125,0.4,0.06666666666666667
CD4,CD4.c02.Tn.PASK,CD4_Tn.Naive,filter_only,30,0.25,0.16666666666666666,0.0
CD4,CD4.c02.Tn.PASK,CD4_Tn.Naive,regex_mask,30,0.25,0.0,0.0
CD4,CD4.c02.Tn.PASK,CD4_Tn.Naive,full_core,30,0.5,0.0,0.0
CD4,CD4.c02.Tn.PASK,CD4_Tn.Naive,standard,50,0.25,0.36,0.04
CD4,CD4.c02.Tn.PASK,CD4_Tn.Naive,filter_only,50,0.375,0.14,0.0
CD4,CD4.c02.Tn.PASK,CD4_Tn.Naive,regex_mask,50,0.375,0.0,0.0
CD4,CD4.c02.Tn.PASK,CD4_Tn.Naive,full_core,50,0.625,0.0,0.0
CD4,CD4.c03.Tn.ADSL,CD4_Tn.Naive,standard,10,0.375,0.7,0.0
CD4,CD4.c03.Tn.ADSL,CD4_Tn.Naive,filter_only,10,0.5,0.5,0.0
CD4,CD4.c03.Tn.ADSL,CD4_Tn.Naive,regex_mask,10,0.625,0.0,0.0
CD4,CD4.c03.Tn.ADSL,CD4_Tn.Naive,full_core,10,0.5,0.0,0.0
CD4,CD4.c03.Tn.ADSL,CD4_Tn.Naive,standard,20,0.5,0.75,0.0
CD4,CD4.c03.Tn.ADSL,CD4_Tn.Naive,filter_only,20,0.625,0.35,0.0
CD4,CD4.c03.Tn.ADSL,CD4_Tn.Naive,regex_mask,20,0.625,0.0,0.0
CD4,CD4.c03.Tn.ADSL,CD4_Tn.Naive,full_core,20,0.5,0.0,0.0
CD4,CD4.c03.Tn.ADSL,CD4_Tn.Naive,standard,30,0.5,0.8333333333333334,0.03333333333333333
CD4,CD4.c03.Tn.ADSL,CD4_Tn.Naive,filter_only,30,0.625,0.26666666666666666,0.0
CD4,CD4.c03.Tn.ADSL,CD4_Tn.Naive,regex_mask,30,0.625,0.0,0.0
CD4,CD4.c03.Tn.ADSL,CD4_Tn.Naive,full_core,30,0.5,0.0,0.0
CD4,CD4.c03.Tn.ADSL,CD4_Tn.Naive,standard,50,0.625,0.82,0.02
CD4,CD4.c03.Tn.ADSL,CD4_Tn.Naive,filter_only,50,0.625,0.26,0.02
CD4,CD4.c03.Tn.ADSL,CD4_Tn.Naive,regex_mask,50,0.75,0.02,0.02
CD4,CD4.c03.Tn.ADSL,CD4_Tn.Naive,full_core,50,0.625,0.0,0.0
CD4,CD4.c04.Tn.il7r,CD4_Tn.Naive,standard,10,0.0,0.8,0.0
CD4,CD4.c04.Tn.il7r,CD4_Tn.Naive,filter_only,10,0.0,0.7,0.0
CD4,CD4.c04.Tn.il7r,CD4_Tn.Naive,regex_mask,10,0.0,0.0,0.0
CD4,CD4.c04.Tn.il7r,CD4_Tn.Naive,full_core,10,0.0,0.0,0.0
CD4,CD4.c04.Tn.il7r,CD4_Tn.Naive,standard,20,0.0,0.9,0.0
CD4,CD4.c04.Tn.il7r,CD4_Tn.Naive,filter_only,20,0.0,0.65,0.0
CD4,CD4.c04.Tn.il7r,CD4_Tn.Naive,regex_mask,20,0.0,0.0,0.0
CD4,CD4.c04.Tn.il7r,CD4_Tn.Naive,full_core,20,0.0,0.0,0.0
CD4,CD4.c04.Tn.il7r,CD4_Tn.Naive,standard,30,0.0,0.9,0.03333333333333333
CD4,CD4.c04.Tn.il7r,CD4_Tn.Naive,filter_only,30,0.0,0.5,0.0
CD4,CD4.c04.Tn.il7r,CD4_Tn.Naive,regex_mask,30,0.0,0.0,0.0
CD4,CD4.c04.Tn.il7r,CD4_Tn.Naive,full_core,30,0.0,0.0,0.0
CD4,CD4.c04.Tn.il7r,CD4_Tn.Naive,standard,50,0.0,0.74,0.02
CD4,CD4.c04.Tn.il7r,CD4_Tn.Naive,filter_only,50,0.0,0.4,0.0
CD4,CD4.c04.Tn.il7r,CD4_Tn.Naive,regex_mask,50,0.0,0.0,0.0
CD4,CD4.c04.Tn.il7r,CD4_Tn.Naive,full_core,50,0.0,0.0,0.0
CD4,CD4.c05.Tm.TNF,CD4_Tm.EffMem,standard,10,0.0,0.5,0.1
CD4,CD4.c05.Tm.TNF,CD4_Tm.EffMem,filter_only,10,0.0,0.3,0.0
CD4,CD4.c05.Tm.TNF,CD4_Tm.EffMem,regex_mask,10,0.0,0.0,0.0
CD4,CD4.c05.Tm.TNF,CD4_Tm.EffMem,full_core,10,0.0,0.0,0.0
CD4,CD4.c05.Tm.TNF,CD4_Tm.EffMem,standard,20,0.0,0.55,0.1
CD4,CD4.c05.Tm.TNF,CD4_Tm.EffMem,filter_only,20,0.0,0.15,0.0
CD4,CD4.c05.Tm.TNF,CD4_Tm.EffMem,regex_mask,20,0.0,0.0,0.0
CD4,CD4.c05.Tm.TNF,CD4_Tm.EffMem,full_core,20,0.0,0.0,0.0
CD4,CD4.c05.Tm.TNF,CD4_Tm.EffMem,standard,30,0.0,0.43333333333333335,0.1
CD4,CD4.c05.Tm.TNF,CD4_Tm.EffMem,filter_only,30,0.0,0.13333333333333333,0.0
CD4,CD4.c05.Tm.TNF,CD4_Tm.EffMem,regex_mask,30,0.16666666666666666,0.0,0.0
CD4,CD4.c05.Tm.TNF,CD4_Tm.EffMem,full_core,30,0.16666666666666666,0.0,0.0
CD4,CD4.c05.Tm.TNF,CD4_Tm.EffMem,standard,50,0.0,0.3,0.06
CD4,CD4.c05.Tm.TNF,CD4_Tm.EffMem,filter_only,50,0.16666666666666666,0.1,0.0
CD4,CD4.c05.Tm.TNF,CD4_Tm.EffMem,regex_mask,50,0.16666666666666666,0.0,0.0
CD4,CD4.c05.Tm.TNF,CD4_Tm.EffMem,full_core,50,0.16666666666666666,0.0,0.0
CD4,CD4.c06.Tm.ANXA1,CD4_Tm.EffMem,standard,10,0.0,1.0,0.0
CD4,CD4.c06.Tm.ANXA1,CD4_Tm.EffMem,filter_only,10,0.3333333333333333,0.2,0.0
CD4,CD4.c06.Tm.ANXA1,CD4_Tm.EffMem,regex_mask,10,0.3333333333333333,0.0,0.0
CD4,CD4.c06.Tm.ANXA1,CD4_Tm.EffMem,full_core,10,0.3333333333333333,0.0,0.0
CD4,CD4.c06.Tm.ANXA1,CD4_Tm.EffMem,standard,20,0.0,0.95,0.0
CD4,CD4.c06.Tm.ANXA1,CD4_Tm.EffMem,filter_only,20,0.3333333333333333,0.3,0.0
CD4,CD4.c06.Tm.ANXA1,CD4_Tm.EffMem,regex_mask,20,0.3333333333333333,0.0,0.0
CD4,CD4.c06.Tm.ANXA1,CD4_Tm.EffMem,full_core,20,0.3333333333333333,0.0,0.0
CD4,CD4.c06.Tm.ANXA1,CD4_Tm.EffMem,standard,30,0.16666666666666666,0.9333333333333333,0.0
CD4,CD4.c06.Tm.ANXA1,CD4_Tm.EffMem,filter_only,30,0.3333333333333333,0.3333333333333333,0.0
CD4,CD4.c06.Tm.ANXA1,CD4_Tm.EffMem,regex_mask,30,0.5,0.0,0.0
CD4,CD4.c06.Tm.ANXA1,CD4_Tm.EffMem,full_core,30,0.5,0.0,0.0
CD4,CD4.c06.Tm.ANXA1,CD4_Tm.EffMem,standard,50,0.16666666666666666,0.9,0.02
CD4,CD4.c06.Tm.ANXA1,CD4_Tm.EffMem,filter_only,50,0.5,0.34,0.0
CD4,CD4.c06.Tm.ANXA1,CD4_Tm.EffMem,regex_mask,50,0.5,0.0,0.0
CD4,CD4.c06.Tm.ANXA1,CD4_Tm.EffMem,full_core,50,0.6666666666666666,0.0,0.0
CD4,CD4.c07.Tm.ANXA2,CD4_Tm.EffMem,standard,10,0.0,0.3,0.3
CD4,CD4.c07.Tm.ANXA2,CD4_Tm.EffMem,filter_only,10,0.0,0.1,0.1
CD4,CD4.c07.Tm.ANXA2,CD4_Tm.EffMem,regex_mask,10,0.0,0.1,0.1
CD4,CD4.c07.Tm.ANXA2,CD4_Tm.EffMem,full_core,10,0.0,0.0,0.0
CD4,CD4.c07.Tm.ANXA2,CD4_Tm.EffMem,standard,20,0.0,0.35,0.35
CD4,CD4.c07.Tm.ANXA2,CD4_Tm.EffMem,filter_only,20,0.0,0.1,0.1
CD4,CD4.c07.Tm.ANXA2,CD4_Tm.EffMem,regex_mask,20,0.0,0.1,0.1
CD4,CD4.c07.Tm.ANXA2,CD4_Tm.EffMem,full_core,20,0.16666666666666666,0.0,0.0
CD4,CD4.c07.Tm.ANXA2,CD4_Tm.EffMem,standard,30,0.0,0.3,0.3
CD4,CD4.c07.Tm.ANXA2,CD4_Tm.EffMem,filter_only,30,0.16666666666666666,0.06666666666666667,0.06666666666666667
CD4,CD4.c07.Tm.ANXA2,CD4_Tm.EffMem,regex_mask,30,0.16666666666666666,0.06666666666666667,0.06666666666666667
CD4,CD4.c07.Tm.ANXA2,CD4_Tm.EffMem,full_core,30,0.16666666666666666,0.0,0.0
CD4,CD4.c07.Tm.ANXA2,CD4_Tm.EffMem,standard,50,0.16666666666666666,0.2,0.2
CD4,CD4.c07.Tm.ANXA2,CD4_Tm.EffMem,filter_only,50,0.16666666666666666,0.04,0.04
CD4,CD4.c07.Tm.ANXA2,CD4_Tm.EffMem,regex_mask,50,0.16666666666666666,0.04,0.04
CD4,CD4.c07.Tm.ANXA2,CD4_Tm.EffMem,full_core,50,0.16666666666666666,0.0,0.0
CD4,CD4.c08.Tm.CREM,CD4_Tm.EffMem,standard,10,0.16666666666666666,0.1,0.1
CD4,CD4.c08.Tm.CREM,CD4_Tm.EffMem,filter_only,10,0.16666666666666666,0.0,0.0
CD4,CD4.c08.Tm.CREM,CD4_Tm.EffMem,regex_mask,10,0.16666666666666666,0.0,0.0
CD4,CD4.c08.Tm.CREM,CD4_Tm.EffMem,full_core,10,0.16666666666666666,0.0,0.0
CD4,CD4.c08.Tm.CREM,CD4_Tm.EffMem,standard,20,0.16666666666666666,0.15,0.15
CD4,CD4.c08.Tm.CREM,CD4_Tm.EffMem,filter_only,20,0.3333333333333333,0.0,0.0
CD4,CD4.c08.Tm.CREM,CD4_Tm.EffMem,regex_mask,20,0.3333333333333333,0.0,0.0
CD4,CD4.c08.Tm.CREM,CD4_Tm.EffMem,full_core,20,0.16666666666666666,0.0,0.0
CD4,CD4.c08.Tm.CREM,CD4_Tm.EffMem,standard,30,0.3333333333333333,0.13333333333333333,0.1
CD4,CD4.c08.Tm.CREM,CD4_Tm.EffMem,filter_only,30,0.3333333333333333,0.06666666666666667,0.0
CD4,CD4.c08.Tm.CREM,CD4_Tm.EffMem,regex_mask,30,0.3333333333333333,0.0,0.0
CD4,CD4.c08.Tm.CREM,CD4_Tm.EffMem,full_core,30,0.16666666666666666,0.0,0.0
CD4,CD4.c08.Tm.CREM,CD4_Tm.EffMem,standard,50,0.3333333333333333,0.18,0.06
CD4,CD4.c08.Tm.CREM,CD4_Tm.EffMem,filter_only,50,0.3333333333333333,0.14,0.0
CD4,CD4.c08.Tm.CREM,CD4_Tm.EffMem,regex_mask,50,0.3333333333333333,0.0,0.0
CD4,CD4.c08.Tm.CREM,CD4_Tm.EffMem,full_core,50,0.16666666666666666,0.0,0.0
CD4,CD4.c09.Tm.CCL5,CD4_Tm.EffMem,standard,10,0.16666666666666666,0.4,0.2
CD4,CD4.c09.Tm.CCL5,CD4_Tm.EffMem,filter_only,10,0.16666666666666666,0.1,0.0
CD4,CD4.c09.Tm.CCL5,CD4_Tm.EffMem,regex_mask,10,0.3333333333333333,0.0,0.0
CD4,CD4.c09.Tm.CCL5,CD4_Tm.EffMem,full_core,10,0.16666666666666666,0.0,0.0
CD4,CD4.c09.Tm.CCL5,CD4_Tm.EffMem,standard,20,0.3333333333333333,0.45,0.15
CD4,CD4.c09.Tm.CCL5,CD4_Tm.EffMem,filter_only,20,0.3333333333333333,0.1,0.0
CD4,CD4.c09.Tm.CCL5,CD4_Tm.EffMem,regex_mask,20,0.3333333333333333,0.0,0.0
CD4,CD4.c09.Tm.CCL5,CD4_Tm.EffMem,full_core,20,0.16666666666666666,0.0,0.0
CD4,CD4.c09.Tm.CCL5,CD4_Tm.EffMem,standard,30,0.3333333333333333,0.43333333333333335,0.1
CD4,CD4.c09.Tm.CCL5,CD4_Tm.EffMem,filter_only,30,0.3333333333333333,0.13333333333333333,0.0
CD4,CD4.c09.Tm.CCL5,CD4_Tm.EffMem,regex_mask,30,0.3333333333333333,0.0,0.0
CD4,CD4.c09.Tm.CCL5,CD4_Tm.EffMem,full_core,30,0.16666666666666666,0.0,0.0
CD4,CD4.c09.Tm.CCL5,CD4_Tm.EffMem,standard,50,0.3333333333333333,0.44,0.06
CD4,CD4.c09.Tm.CCL5,CD4_Tm.EffMem,filter_only,50,0.3333333333333333,0.1,0.0
CD4,CD4.c09.Tm.CCL5,CD4_Tm.EffMem,regex_mask,50,0.3333333333333333,0.0,0.0
CD4,CD4.c09.Tm.CCL5,CD4_Tm.EffMem,full_core,50,0.16666666666666666,0.0,0.0
CD4,CD4.c10.Tm.CAPG,CD4_Tm.EffMem,standard,10,0.0,0.5,0.5
CD4,CD4.c10.Tm.CAPG,CD4_Tm.EffMem,filter_only,10,0.0,0.1,0.1
CD4,CD4.c10.Tm.CAPG,CD4_Tm.EffMem,regex_mask,10,0.0,0.1,0.1
CD4,CD4.c10.Tm.CAPG,CD4_Tm.EffMem,full_core,10,0.16666666666666666,0.0,0.0
CD4,CD4.c10.Tm.CAPG,CD4_Tm.EffMem,standard,20,0.16666666666666666,0.3,0.3
CD4,CD4.c10.Tm.CAPG,CD4_Tm.EffMem,filter_only,20,0.16666666666666666,0.1,0.1
CD4,CD4.c10.Tm.CAPG,CD4_Tm.EffMem,regex_mask,20,0.16666666666666666,0.1,0.1
CD4,CD4.c10.Tm.CAPG,CD4_Tm.EffMem,full_core,20,0.16666666666666666,0.0,0.0
CD4,CD4.c10.Tm.CAPG,CD4_Tm.EffMem,standard,30,0.16666666666666666,0.23333333333333334,0.2
CD4,CD4.c10.Tm.CAPG,CD4_Tm.EffMem,filter_only,30,0.16666666666666666,0.06666666666666667,0.06666666666666667
CD4,CD4.c10.Tm.CAPG,CD4_Tm.EffMem,regex_mask,30,0.16666666666666666,0.06666666666666667,0.06666666666666667
CD4,CD4.c10.Tm.CAPG,CD4_Tm.EffMem,full_core,30,0.16666666666666666,0.0,0.0
CD4,CD4.c10.Tm.CAPG,CD4_Tm.EffMem,standard,50,0.16666666666666666,0.16,0.14
CD4,CD4.c10.Tm.CAPG,CD4_Tm.EffMem,filter_only,50,0.16666666666666666,0.04,0.04
CD4,CD4.c10.Tm.CAPG,CD4_Tm.EffMem,regex_mask,50,0.16666666666666666,0.04,0.04
CD4,CD4.c10.Tm.CAPG,CD4_Tm.EffMem,full_core,50,0.3333333333333333,0.0,0.0
CD4,CD4.c11.Tm.GZMA,CD4_Tm.EffMem,standard,10,0.0,0.2,0.2
CD4,CD4.c11.Tm.GZMA,CD4_Tm.EffMem,filter_only,10,0.16666666666666666,0.0,0.0
CD4,CD4.c11.Tm.GZMA,CD4_Tm.EffMem,regex_mask,10,0.16666666666666666,0.0,0.0
CD4,CD4.c11.Tm.GZMA,CD4_Tm.EffMem,full_core,10,0.16666666666666666,0.0,0.0
CD4,CD4.c11.Tm.GZMA,CD4_Tm.EffMem,standard,20,0.16666666666666666,0.1,0.1
CD4,CD4.c11.Tm.GZMA,CD4_Tm.EffMem,filter_only,20,0.16666666666666666,0.0,0.0
CD4,CD4.c11.Tm.GZMA,CD4_Tm.EffMem,regex_mask,20,0.16666666666666666,0.0,0.0
CD4,CD4.c11.Tm.GZMA,CD4_Tm.EffMem,full_core,20,0.16666666666666666,0.0,0.0
CD4,CD4.c11.Tm.GZMA,CD4_Tm.EffMem,standard,30,0.16666666666666666,0.1,0.1
CD4,CD4.c11.Tm.GZMA,CD4_Tm.EffMem,filter_only,30,0.16666666666666666,0.0,0.0
CD4,CD4.c11.Tm.GZMA,CD4_Tm.EffMem,regex_mask,30,0.16666666666666666,0.0,0.0
CD4,CD4.c11.Tm.GZMA,CD4_Tm.EffMem,full_core,30,0.16666666666666666,0.0,0.0
CD4,CD4.c11.Tm.GZMA,CD4_Tm.EffMem,standard,50,0.16666666666666666,0.1,0.1
CD4,CD4.c11.Tm.GZMA,CD4_Tm.EffMem,filter_only,50,0.16666666666666666,0.0,0.0
CD4,CD4.c11.Tm.GZMA,CD4_Tm.EffMem,regex_mask,50,0.16666666666666666,0.0,0.0
CD4,CD4.c11.Tm.GZMA,CD4_Tm.EffMem,full_core,50,0.16666666666666666,0.0,0.0
CD4,CD4.c12.Tem.GZMK,CD4_Tem.EffMem,standard,10,0.16666666666666666,0.0,0.0
CD4,CD4.c12.Tem.GZMK,CD4_Tem.EffMem,filter_only,10,0.16666666666666666,0.0,0.0
CD4,CD4.c12.Tem.GZMK,CD4_Tem.EffMem,regex_mask,10,0.16666666666666666,0.0,0.0
CD4,CD4.c12.Tem.GZMK,CD4_Tem.EffMem,full_core,10,0.16666666666666666,0.0,0.0
CD4,CD4.c12.Tem.GZMK,CD4_Tem.EffMem,standard,20,0.16666666666666666,0.1,0.0
CD4,CD4.c12.Tem.GZMK,CD4_Tem.EffMem,filter_only,20,0.16666666666666666,0.0,0.0
CD4,CD4.c12.Tem.GZMK,CD4_Tem.EffMem,regex_mask,20,0.16666666666666666,0.0,0.0
CD4,CD4.c12.Tem.GZMK,CD4_Tem.EffMem,full_core,20,0.16666666666666666,0.0,0.0
CD4,CD4.c12.Tem.GZMK,CD4_Tem.EffMem,standard,30,0.16666666666666666,0.06666666666666667,0.0
CD4,CD4.c12.Tem.GZMK,CD4_Tem.EffMem,filter_only,30,0.16666666666666666,0.0,0.0
CD4,CD4.c12.Tem.GZMK,CD4_Tem.EffMem,regex_mask,30,0.16666666666666666,0.0,0.0
CD4,CD4.c12.Tem.GZMK,CD4_Tem.EffMem,full_core,30,0.16666666666666666,0.0,0.0
CD4,CD4.c12.Tem.GZMK,CD4_Tem.EffMem,standard,50,0.16666666666666666,0.08,0.0
CD4,CD4.c12.Tem.GZMK,CD4_Tem.EffMem,filter_only,50,0.16666666666666666,0.0,0.0
CD4,CD4.c12.Tem.GZMK,CD4_Tem.EffMem,regex_mask,50,0.16666666666666666,0.0,0.0
CD4,CD4.c12.Tem.GZMK,CD4_Tem.EffMem,full_core,50,0.3333333333333333,0.0,0.0
CD4,CD4.c13.Temra.CX3CR1,CD4_Temra.EffMem,standard,10,0.8333333333333334,0.0,0.0
CD4,CD4.c13.Temra.CX3CR1,CD4_Temra.EffMem,filter_only,10,0.8333333333333334,0.0,0.0
CD4,CD4.c13.Temra.CX3CR1,CD4_Temra.EffMem,regex_mask,10,0.8333333333333334,0.0,0.0
CD4,CD4.c13.Temra.CX3CR1,CD4_Temra.EffMem,full_core,10,0.8333333333333334,0.0,0.0
CD4,CD4.c13.Temra.CX3CR1,CD4_Temra.EffMem,standard,20,0.8333333333333334,0.05,0.0
CD4,CD4.c13.Temra.CX3CR1,CD4_Temra.EffMem,filter_only,20,0.8333333333333334,0.0,0.0
CD4,CD4.c13.Temra.CX3CR1,CD4_Temra.EffMem,regex_mask,20,0.8333333333333334,0.0,0.0
CD4,CD4.c13.Temra.CX3CR1,CD4_Temra.EffMem,full_core,20,0.8333333333333334,0.0,0.0
CD4,CD4.c13.Temra.CX3CR1,CD4_Temra.EffMem,standard,30,0.8333333333333334,0.1,0.0
CD4,CD4.c13.Temra.CX3CR1,CD4_Temra.EffMem,filter_only,30,0.8333333333333334,0.0,0.0
CD4,CD4.c13.Temra.CX3CR1,CD4_Temra.EffMem,regex_mask,30,0.8333333333333334,0.0,0.0
CD4,CD4.c13.Temra.CX3CR1,CD4_Temra.EffMem,full_core,30,1.0,0.0,0.0
CD4,CD4.c13.Temra.CX3CR1,CD4_Temra.EffMem,standard,50,0.8333333333333334,0.18,0.0
CD4,CD4.c13.Temra.CX3CR1,CD4_Temra.EffMem,filter_only,50,0.8333333333333334,0.02,0.0
CD4,CD4.c13.Temra.CX3CR1,CD4_Temra.EffMem,regex_mask,50,0.8333333333333334,0.0,0.0
CD4,CD4.c13.Temra.CX3CR1,CD4_Temra.EffMem,full_core,50,1.0,0.0,0.0
CD4,CD4.c14.Th17.SLC4A10,CD4_Th17,standard,10,0.16666666666666666,0.3,0.1
CD4,CD4.c14.Th17.SLC4A10,CD4_Th17,filter_only,10,0.16666666666666666,0.0,0.0
CD4,CD4.c14.Th17.SLC4A10,CD4_Th17,regex_mask,10,0.16666666666666666,0.0,0.0
CD4,CD4.c14.Th17.SLC4A10,CD4_Th17,full_core,10,0.3333333333333333,0.0,0.0
CD4,CD4.c14.Th17.SLC4A10,CD4_Th17,standard,20,0.5,0.3,0.05
CD4,CD4.c14.Th17.SLC4A10,CD4_Th17,filter_only,20,0.5,0.0,0.0
CD4,CD4.c14.Th17.SLC4A10,CD4_Th17,regex_mask,20,0.5,0.0,0.0
CD4,CD4.c14.Th17.SLC4A10,CD4_Th17,full_core,20,0.3333333333333333,0.0,0.0
CD4,CD4.c14.Th17.SLC4A10,CD4_Th17,standard,30,0.5,0.26666666666666666,0.03333333333333333
CD4,CD4.c14.Th17.SLC4A10,CD4_Th17,filter_only,30,0.5,0.03333333333333333,0.0
CD4,CD4.c14.Th17.SLC4A10,CD4_Th17,regex_mask,30,0.5,0.0,0.0
CD4,CD4.c14.Th17.SLC4A10,CD4_Th17,full_core,30,0.3333333333333333,0.0,0.0
CD4,CD4.c14.Th17.SLC4A10,CD4_Th17,standard,50,0.5,0.34,0.06
CD4,CD4.c14.Th17.SLC4A10,CD4_Th17,filter_only,50,0.5,0.04,0.0
CD4,CD4.c14.Th17.SLC4A10,CD4_Th17,regex_mask,50,0.5,0.0,0.0
CD4,CD4.c14.Th17.SLC4A10,CD4_Th17,full_core,50,0.3333333333333333,0.0,0.0
CD4,CD4.c15.Th17.IL23R,CD4_Th17,standard,10,0.5,0.1,0.0
CD4,CD4.c15.Th17.IL23R,CD4_Th17,filter_only,10,0.5,0.0,0.0
CD4,CD4.c15.Th17.IL23R,CD4_Th17,regex_mask,10,0.5,0.0,0.0
CD4,CD4.c15.Th17.IL23R,CD4_Th17,full_core,10,0.3333333333333333,0.0,0.0
CD4,CD4.c15.Th17.IL23R,CD4_Th17,standard,20,0.6666666666666666,0.15,0.05
CD4,CD4.c15.Th17.IL23R,CD4_Th17,filter_only,20,0.6666666666666666,0.0,0.0
CD4,CD4.c15.Th17.IL23R,CD4_Th17,regex_mask,20,0.6666666666666666,0.0,0.0
CD4,CD4.c15.Th17.IL23R,CD4_Th17,full_core,20,0.3333333333333333,0.0,0.0
CD4,CD4.c15.Th17.IL23R,CD4_Th17,standard,30,0.6666666666666666,0.1,0.03333333333333333
CD4,CD4.c15.Th17.IL23R,CD4_Th17,filter_only,30,0.6666666666666666,0.0,0.0
CD4,CD4.c15.Th17.IL23R,CD4_Th17,regex_mask,30,0.6666666666666666,0.0,0.0
CD4,CD4.c15.Th17.IL23R,CD4_Th17,full_core,30,0.3333333333333333,0.0,0.0
CD4,CD4.c15.Th17.IL23R,CD4_Th17,standard,50,0.6666666666666666,0.14,0.06
CD4,CD4.c15.Th17.IL23R,CD4_Th17,filter_only,50,0.6666666666666666,0.02,0.0
CD4,CD4.c15.Th17.IL23R,CD4_Th17,regex_mask,50,0.6666666666666666,0.0,0.0
CD4,CD4.c15.Th17.IL23R,CD4_Th17,full_core,50,0.5,0.0,0.0
CD4,CD4.c16.Tfh.CXCR5,CD4_Tfh,standard,10,0.16666666666666666,0.1,0.1
CD4,CD4.c16.Tfh.CXCR5,CD4_Tfh,filter_only,10,0.16666666666666666,0.0,0.0
CD4,CD4.c16.Tfh.CXCR5,CD4_Tfh,regex_mask,10,0.16666666666666666,0.0,0.0
CD4,CD4.c16.Tfh.CXCR5,CD4_Tfh,full_core,10,0.16666666666666666,0.0,0.0
CD4,CD4.c16.Tfh.CXCR5,CD4_Tfh,standard,20,0.16666666666666666,0.1,0.05
CD4,CD4.c16.Tfh.CXCR5,CD4_Tfh,filter_only,20,0.16666666666666666,0.05,0.0
CD4,CD4.c16.Tfh.CXCR5,CD4_Tfh,regex_mask,20,0.16666666666666666,0.0,0.0
CD4,CD4.c16.Tfh.CXCR5,CD4_Tfh,full_core,20,0.16666666666666666,0.0,0.0
CD4,CD4.c16.Tfh.CXCR5,CD4_Tfh,standard,30,0.3333333333333333,0.06666666666666667,0.03333333333333333
CD4,CD4.c16.Tfh.CXCR5,CD4_Tfh,filter_only,30,0.3333333333333333,0.03333333333333333,0.0
CD4,CD4.c16.Tfh.CXCR5,CD4_Tfh,regex_mask,30,0.3333333333333333,0.0,0.0
CD4,CD4.c16.Tfh.CXCR5,CD4_Tfh,full_core,30,0.16666666666666666,0.0,0.0
CD4,CD4.c16.Tfh.CXCR5,CD4_Tfh,standard,50,0.5,0.04,0.02
CD4,CD4.c16.Tfh.CXCR5,CD4_Tfh,filter_only,50,0.5,0.02,0.0
CD4,CD4.c16.Tfh.CXCR5,CD4_Tfh,regex_mask,50,0.5,0.0,0.0
CD4,CD4.c16.Tfh.CXCR5,CD4_Tfh,full_core,50,0.16666666666666666,0.0,0.0
CD4,CD4.c17.TfhTh1.CXCL13,CD4_Tfh,standard,10,0.16666666666666666,0.1,0.0
CD4,CD4.c17.TfhTh1.CXCL13,CD4_Tfh,filter_only,10,0.16666666666666666,0.0,0.0
CD4,CD4.c17.TfhTh1.CXCL13,CD4_Tfh,regex_mask,10,0.16666666666666666,0.0,0.0
CD4,CD4.c17.TfhTh1.CXCL13,CD4_Tfh,full_core,10,0.16666666666666666,0.0,0.0
