dataset,cluster,Ground_Truth,variant,rank,gene,is_regex_noise,is_any_noise,is_low_gini,is_canonical_marker
CD8,CD8.c13.Tex.myl12a,CD8_Exhausted,full_core,33,PHLDA1,False,False,False,False
CD8,CD8.c13.Tex.myl12a,CD8_Exhausted,full_core,34,MYO7A,False,False,False,False
CD8,CD8.c13.Tex.myl12a,CD8_Exhausted,full_core,35,AHI1,False,False,False,False
CD8,CD8.c13.Tex.myl12a,CD8_Exhausted,full_core,36,HLA-DRB1,False,False,False,False
CD8,CD8.c13.Tex.myl12a,CD8_Exhausted,full_core,37,AC069363.1,False,False,False,False
CD8,CD8.c13.Tex.myl12a,CD8_Exhausted,full_core,38,FKBP1A,False,False,False,False
CD8,CD8.c13.Tex.myl12a,CD8_Exhausted,full_core,39,HLA-DRA,False,False,False,False
CD8,CD8.c13.Tex.myl12a,CD8_Exhausted,full_core,40,CEBPD,False,False,False,False
CD8,CD8.c13.Tex.myl12a,CD8_Exhausted,full_core,41,MAST4,False,False,False,False
CD8,CD8.c13.Tex.myl12a,CD8_Exhausted,full_core,42,CCL3,False,False,False,False
CD8,CD8.c13.Tex.myl12a,CD8_Exhausted,full_core,43,TMEM106C,False,False,False,False
CD8,CD8.c13.Tex.myl12a,CD8_Exhausted,full_core,44,ANXA5,False,False,False,False
CD8,CD8.c13.Tex.myl12a,CD8_Exhausted,full_core,45,NDFIP2,False,False,False,False
CD8,CD8.c13.Tex.myl12a,CD8_Exhausted,full_core,46,NUCKS1,False,False,False,False
CD8,CD8.c13.Tex.myl12a,CD8_Exhausted,full_core,47,PRF1,False,False,False,False
CD8,CD8.c13.Tex.myl12a,CD8_Exhausted,full_core,48,BATF,False,False,False,False
CD8,CD8.c13.Tex.myl12a,CD8_Exhausted,full_core,49,NELL2,False,False,False,False
CD8,CD8.c13.Tex.myl12a,CD8_Exhausted,full_core,50,CARHSP1,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,standard,1,NR3C1,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,standard,2,CXCL13,False,False,False,True
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,standard,3,BATF,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,standard,4,DUSP4,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,standard,5,CD27,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,standard,6,CHN1,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,standard,7,RBPJ,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,standard,8,CTLA4,False,False,False,True
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,standard,9,ITM2A,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,standard,10,BIRC3,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,standard,11,TIGIT,False,False,False,True
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,standard,12,IL6ST,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,standard,13,SEPT6,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,standard,14,RPL15,True,True,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,standard,15,RPS26,True,True,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,standard,16,SESN3,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,standard,17,RGS2,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,standard,18,ICOS,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,standard,19,PMAIP1,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,standard,20,TOX,False,False,False,True
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,standard,21,GEM,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,standard,22,RPL6,True,True,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,standard,23,EEF1A1,True,True,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,standard,24,TNFRSF9,False,False,False,True
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,standard,25,RHBDD2,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,standard,26,RPL18,True,True,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,standard,27,CD200,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,standard,28,GNB2L1,False,True,True,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,standard,29,CRTAM,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,standard,30,CIRBP,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,standard,31,RGS1,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,standard,32,PASK,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,standard,33,TNFRSF18,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,standard,34,ITGAE,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,standard,35,HNRNPLL,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,standard,36,FKBP5,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,standard,37,PRDX1,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,standard,38,NELL2,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,standard,39,EIF3H,True,True,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,standard,40,HLA-DQB1,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,standard,41,ATP5G2,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,standard,42,STAM,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,standard,43,EEF1G,True,True,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,standard,44,AP3S1,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,standard,45,RPL8,True,True,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,standard,46,IL7R,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,standard,47,RPL11,True,True,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,standard,48,GPX4,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,standard,49,PARK7,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,standard,50,SIRPG,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,filter_only,1,NR3C1,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,filter_only,2,CXCL13,False,False,False,True
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,filter_only,3,BATF,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,filter_only,4,DUSP4,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,filter_only,5,CD27,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,filter_only,6,CHN1,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,filter_only,7,RBPJ,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,filter_only,8,CTLA4,False,False,False,True
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,filter_only,9,ITM2A,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,filter_only,10,BIRC3,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,filter_only,11,TIGIT,False,False,False,True
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,filter_only,12,IL6ST,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,filter_only,13,SEPT6,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,filter_only,14,SESN3,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,filter_only,15,RGS2,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,filter_only,16,ICOS,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,filter_only,17,PMAIP1,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,filter_only,18,TOX,False,False,False,True
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,filter_only,19,GEM,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,filter_only,20,TNFRSF9,False,False,False,True
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,filter_only,21,RHBDD2,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,filter_only,22,CD200,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,filter_only,23,CRTAM,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,filter_only,24,CIRBP,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,filter_only,25,RGS1,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,filter_only,26,PASK,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,filter_only,27,TNFRSF18,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,filter_only,28,ITGAE,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,filter_only,29,HNRNPLL,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,filter_only,30,FKBP5,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,filter_only,31,PRDX1,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,filter_only,32,NELL2,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,filter_only,33,EIF3H,True,True,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,filter_only,34,HLA-DQB1,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,filter_only,35,ATP5G2,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,filter_only,36,STAM,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,filter_only,37,EEF1G,True,True,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,filter_only,38,AP3S1,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,filter_only,39,IL7R,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,filter_only,40,GPX4,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,filter_only,41,PARK7,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,filter_only,42,SIRPG,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,filter_only,43,EEF2,True,True,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,filter_only,44,TBC1D4,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,filter_only,45,GYPC,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,filter_only,46,LIMS1,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,filter_only,47,TTN,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,filter_only,48,NDFIP2,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,filter_only,49,MS4A6A,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,filter_only,50,PIM2,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,regex_mask,1,NR3C1,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,regex_mask,2,CXCL13,False,False,False,True
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,regex_mask,3,BATF,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,regex_mask,4,DUSP4,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,regex_mask,5,CD27,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,regex_mask,6,CHN1,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,regex_mask,7,RBPJ,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,regex_mask,8,CTLA4,False,False,False,True
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,regex_mask,9,ITM2A,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,regex_mask,10,BIRC3,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,regex_mask,11,TIGIT,False,False,False,True
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,regex_mask,12,IL6ST,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,regex_mask,13,SEPT6,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,regex_mask,14,SESN3,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,regex_mask,15,RGS2,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,regex_mask,16,ICOS,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,regex_mask,17,PMAIP1,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,regex_mask,18,TOX,False,False,False,True
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,regex_mask,19,GEM,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,regex_mask,20,TNFRSF9,False,False,False,True
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,regex_mask,21,RHBDD2,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,regex_mask,22,CD200,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,regex_mask,23,CRTAM,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,regex_mask,24,CIRBP,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,regex_mask,25,RGS1,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,regex_mask,26,PASK,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,regex_mask,27,TNFRSF18,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,regex_mask,28,ITGAE,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,regex_mask,29,HNRNPLL,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,regex_mask,30,FKBP5,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,regex_mask,31,PRDX1,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,regex_mask,32,NELL2,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,regex_mask,33,HLA-DQB1,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,regex_mask,34,ATP5G2,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,regex_mask,35,STAM,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,regex_mask,36,AP3S1,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,regex_mask,37,IL7R,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,regex_mask,38,GPX4,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,regex_mask,39,PARK7,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,regex_mask,40,SIRPG,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,regex_mask,41,TBC1D4,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,regex_mask,42,GYPC,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,regex_mask,43,LIMS1,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,regex_mask,44,TTN,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,regex_mask,45,NDFIP2,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,regex_mask,46,MS4A6A,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,regex_mask,47,PIM2,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,regex_mask,48,OXA1L,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,regex_mask,49,AHR,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,regex_mask,50,ENTPD1,False,False,False,True
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,full_core,1,CXCL13,False,False,False,True
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,full_core,2,BATF,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,full_core,3,DUSP4,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,full_core,4,CD27,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,full_core,5,CHN1,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,full_core,6,RBPJ,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,full_core,7,CTLA4,False,False,False,True
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,full_core,8,ITM2A,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,full_core,9,BIRC3,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,full_core,10,TIGIT,False,False,False,True
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,full_core,11,SESN3,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,full_core,12,RGS2,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,full_core,13,ICOS,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,full_core,14,PMAIP1,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,full_core,15,TOX,False,False,False,True
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,full_core,16,GEM,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,full_core,17,TNFRSF9,False,False,False,True
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,full_core,18,CD200,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,full_core,19,CRTAM,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,full_core,20,RGS1,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,full_core,21,PASK,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,full_core,22,TNFRSF18,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,full_core,23,ITGAE,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,full_core,24,PRDX1,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,full_core,25,NELL2,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,full_core,26,HLA-DQB1,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,full_core,27,IL7R,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,full_core,28,PARK7,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,full_core,29,SIRPG,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,full_core,30,TTN,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,full_core,31,NDFIP2,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,full_core,32,MS4A6A,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,full_core,33,PIM2,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,full_core,34,AHR,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,full_core,35,ENTPD1,False,False,False,True
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,full_core,36,HNRNPA1,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,full_core,37,NME2,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,full_core,38,METTL8,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,full_core,39,PPM1G,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,full_core,40,TIAM1,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,full_core,41,GATA3,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,full_core,42,TNFRSF4,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,full_core,43,NFKBIA,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,full_core,44,TCF7,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,full_core,45,GNG4,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,full_core,46,DNPH1,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,full_core,47,LAYN,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,full_core,48,PHLDA1,False,False,False,False
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,full_core,49,PDCD1,False,False,False,True
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,full_core,50,SH2D1A,False,False,False,False
CD8,CD8.c15.ISG.IFIT1,CD8_ISG,standard,1,IFI6,False,False,False,True
CD8,CD8.c15.ISG.IFIT1,CD8_ISG,standard,2,IFITM1,False,False,False,False
CD8,CD8.c15.ISG.IFIT1,CD8_ISG,standard,3,MX1,False,False,False,True
CD8,CD8.c15.ISG.IFIT1,CD8_ISG,standard,4,ISG15,False,False,False,True
CD8,CD8.c15.ISG.IFIT1,CD8_ISG,standard,5,LY6E,False,False,False,False
CD8,CD8.c15.ISG.IFIT1,CD8_ISG,standard,6,IFI44L,False,False,False,False
CD8,CD8.c15.ISG.IFIT1,CD8_ISG,standard,7,XAF1,False,False,False,False
CD8,CD8.c15.ISG.IFIT1,CD8_ISG,standard,8,BST2,False,False,False,False
CD8,CD8.c15.ISG.IFIT1,CD8_ISG,standard,9,IFIT1,False,False,False,True
CD8,CD8.c15.ISG.IFIT1,CD8_ISG,standard,10,ISG20,False,False,False,False
CD8,CD8.c15.ISG.IFIT1,CD8_ISG,standard,11,EIF2AK2,True,True,False,False
CD8,CD8.c15.ISG.IFIT1,CD8_ISG,standard,12,OAS1,False,False,False,True
CD8,CD8.c15.ISG.IFIT1,CD8_ISG,standard,13,TRIM22,False,False,False,False
CD8,CD8.c15.ISG.IFIT1,CD8_ISG,standard,14,IRF7,False,False,False,False
CD8,CD8.c15.ISG.IFIT1,CD8_ISG,standard,15,EPSTI1,False,False,False,False
CD8,CD8.c15.ISG.IFIT1,CD8_ISG,standard,16,STAT1,False,False,False,True
CD8,CD8.c15.ISG.IFIT1,CD8_ISG,standard,17,RSAD2,False,False,False,False
CD8,CD8.c15.ISG.IFIT1,CD8_ISG,standard,18,PLSCR1,False,False,False,False
CD8,CD8.c15.ISG.IFIT1,CD8_ISG,standard,19,OASL,False,False,False,False
CD8,CD8.c15.ISG.IFIT1,CD8_ISG,standard,20,IFI35,False,False,False,False
CD8,CD8.c15.ISG.IFIT1,CD8_ISG,standard,21,HERC5,False,False,False,False
CD8,CD8.c15.ISG.IFIT1,CD8_ISG,standard,22,UBE2L6,False,False,False,False
CD8,CD8.c15.ISG.IFIT1,CD8_ISG,standard,23,LGALS9,False,False,False,False
CD8,CD8.c15.ISG.IFIT1,CD8_ISG,standard,24,DRAP1,False,False,False,False
CD8,CD8.c15.ISG.IFIT1,CD8_ISG,standard,25,IFIT3,False,False,False,False
CD8,CD8.c15.ISG.IFIT1,CD8_ISG,standard,26,SAMD9L,False,False,False,False
CD8,CD8.c15.ISG.IFIT1,CD8_ISG,standard,27,MX2,False,False,False,False
CD8,CD8.c15.ISG.IFIT1,CD8_ISG,standard,28,PSMB9,False,False,False,False
CD8,CD8.c15.ISG.IFIT1,CD8_ISG,standard,29,ADAR,False,False,False,False
CD8,CD8.c15.ISG.IFIT1,CD8_ISG,standard,30,CMPK2,False,False,False,False
CD8,CD8.c15.ISG.IFIT1,CD8_ISG,standard,31,LAG3,False,False,False,False
CD8,CD8.c15.ISG.IFIT1,CD8_ISG,standard,32,RNF213,False,False,False,False
CD8,CD8.c15.ISG.IFIT1,CD8_ISG,standard,33,OAS3,False,False,False,False
CD8,CD8.c15.ISG.IFIT1,CD8_ISG,standard,34,IFITM2,False,False,False,False
CD8,CD8.c15.ISG.IFIT1,CD8_ISG,standard,35,IFI44,False,False,False,False
CD8,CD8.c15.ISG.IFIT1,CD8_ISG,standard,36,SP100,False,False,False,False
CD8,CD8.c15.ISG.IFIT1,CD8_ISG,standard,37,GBP1,False,False,False,False
CD8,CD8.c15.ISG.IFIT1,CD8_ISG,standard,38,SP110,False,False,False,False
CD8,CD8.c15.ISG.IFIT1,CD8_ISG,standard,39,SAMD9,False,False,False,False
CD8,CD8.c15.ISG.IFIT1,CD8_ISG,standard,40,LAP3,False,False,False,False
CD8,CD8.c15.ISG.IFIT1,CD8_ISG,standard,41,C19orf66,False,False,False,False
CD8,CD8.c15.ISG.IFIT1,CD8_ISG,standard,42,GZMB,False,False,False,False
CD8,CD8.c15.ISG.IFIT1,CD8_ISG,standard,43,OAS2,False,False,False,False
CD8,CD8.c15.ISG.IFIT1,CD8_ISG,standard,44,PARP9,False,False,False,False
CD8,CD8.c15.ISG.IFIT1,CD8_ISG,standard,45,PSME2,False,False,False,False
CD8,CD8.c15.ISG.IFIT1,CD8_ISG,standard,46,MYL12A,False,False,False,False
CD8,CD8.c15.ISG.IFIT1,CD8_ISG,standard,47,PSME1,False,False,False,False
CD8,CD8.c15.ISG.IFIT1,CD8_ISG,standard,48,GBP5,False,False,False,False
CD8,CD8.c15.ISG.IFIT1,CD8_ISG,standard,49,MT2A,False,False,False,False
CD8,CD8.c15.ISG.IFIT1,CD8_ISG,standard,50,DDX60L,False,False,False,False
CD8,CD8.c15.ISG.IFIT1,CD8_ISG,filter_only,1,IFI6,False,False,False,True
CD8,CD8.c15.ISG.IFIT1,CD8_ISG,filter_only,2,IFITM1,False,False,False,False
CD8,CD8.c15.ISG.IFIT1,CD8_ISG,filter_only,3,MX1,False,False,False,True
CD8,CD8.c15.ISG.IFIT1,CD8_ISG,filter_only,4,ISG15,False,False,False,True
CD8,CD8.c15.ISG.IFIT1,CD8_ISG,filter_only,5,LY6E,False,False,False,False
CD8,CD8.c15.ISG.IFIT1,CD8_ISG,filter_only,6,IFI44L,False,False,False,False
CD8,CD8.c15.ISG.IFIT1,CD8_ISG,filter_only,7,XAF1,False,False,False,False
CD8,CD8.c15.ISG.IFIT1,CD8_ISG,filter_only,8,BST2,False,False,False,False
CD8,CD8.c15.ISG.IFIT1,CD8_ISG,filter_only,9,IFIT1,False,False,False,True
CD8,CD8.c15.ISG.IFIT1,CD8_ISG,filter_only,10,ISG20,False,False,False,False
CD8,CD8.c15.ISG.IFIT1,CD8_ISG,filter_only,11,EIF2AK2,True,True,False,False
CD8,CD8.c15.ISG.IFIT1,CD8_ISG,filter_only,12,OAS1,False,False,False,True
